Urgent_Care,Address,City,Location,Zipcode
CareNow Urgent Care - Cedar Hill,345 N Hwy 67,CedarHill,"{'lat': 32.5937493, 'lng': -96.9434082}",75104
NR Urgent Care,7920 Preston Rd #500,Plano,"{'lat': 33.0835628, 'lng': -96.80096619999999}",75024
MacArthur Urgent & Family Care,8787 N MacArthur Blvd #120b,Irving,"{'lat': 32.9261986, 'lng': -96.95304720000001}",75063
PrimaCare Medical Center,1810 N Plano Rd,Richardson,"{'lat': 32.972954, 'lng': -96.69925099999999}",75081
Legacy ER & Urgent Care,9205 Legacy Dr,Frisco,"{'lat': 33.154859, 'lng': -96.84861699999999}",75033
Texas Emergency Care Center - Emergency Room,8200 N MacArthur Blvd,Irving,"{'lat': 32.9211346, 'lng': -96.95761429999999}",75063
1st Class Urgent Care Center,1811 E Bethany Dr,Allen,"{'lat': 33.0861171, 'lng': -96.62158559999999}",75002
CareNow Urgent Care - North Dallas,14856 Preston Rd Suite 100,Dallas,"{'lat': 32.9508613, 'lng': -96.8029907}",75254
Code 3 ER & Urgent Care,4228 N Josey Ln #100,Carrollton,"{'lat': 33.0266022, 'lng': -96.88406379999999}",75010
Watermark UrgentCare,910 W Parker Rd,Plano,"{'lat': 33.0386228, 'lng': -96.7145793}",75023
Care United Medical Center Forney,375 Farm to Market 548 #100,Forney,"{'lat': 32.7450377, 'lng': -96.4496175}",75126
CareNow Urgent Care - Las Colinas,2851 W Interstate Hwy #635,Irving,"{'lat': 32.922297, 'lng': -96.9841481}",75063
Code 3 ER & Urgent Care,1080 E Cartwright Rd #100,Mesquite,"{'lat': 32.7450221, 'lng': -96.5815337}",75149
PrimaCare Medical Center,7910 Belt Line Rd,Dallas,"{'lat': 32.950246, 'lng': -96.77104500000002}",75254
MedSpring Urgent Care – Upper Greenville,4844 Greenville Ave,Dallas,"{'lat': 32.8468785, 'lng': -96.76969439999999}",75206
MedSpring Urgent Care - Oak Lawn,4501 Lemmon Ave,Dallas,"{'lat': 32.8188691, 'lng': -96.8142432}",75219
Grand Prairie Urgent Care & Family Medicine,5204 TX-360 #400,GrandPrairie,"{'lat': 32.646659, 'lng': -97.058436}",75052
FastMed Urgent Care,12127 Lake June Rd B,BalchSprings,"{'lat': 32.7344603, 'lng': -96.61767979999999}",75180
Urgent Care of Texas & Expecare Family Care @ Arlington,6407 S Cooper St #117,Arlington,"{'lat': 32.6408484, 'lng': -97.13362409999999}",76001
UrgentCare2go : 24/7 Mobile Urgent Care,12300 Ford Rd #130,FarmersBranch,"{'lat': 32.913573, 'lng': -96.890343}",75234
PrimaCare Medical Center,5076 W Plano Pkwy,Plano,"{'lat': 33.016036, 'lng': -96.800063}",75093
CareNow Urgent Care - Dallas Abrams,9323 Lyndon B Johnson Fwy,Dallas,"{'lat': 32.9134377, 'lng': -96.7369216}",75243
MedSpring Urgent Care - Knox-Henderson,4617 N Central Expy,Dallas,"{'lat': 32.82275000000001, 'lng': -96.786171}",75205
MedPost Urgent Care of Dallas,9540 Garland Rd c408,Dallas,"{'lat': 32.834661, 'lng': -96.700688}",75218
